cohort,fold,K,method,n_cell_types,val_auc,held_auc,val_ap,held_ap,val_f1,held_f1,val_mcc,held_mcc
Heming,5,20,DE_top,8,1.0,0.7160493827160493,1.0,0.8081760287642641,1.0,0.7272727272727274,1.0,0.3721042037676254
Heming,5,20,HVG,8,1.0,0.7530864197530864,1.0,0.7663919413919413,1.0,0.823529411764706,1.0,0.6708203932499369
Heming,5,20,LASSO,8,1.0,0.7160493827160495,1.0,0.7883828589710943,1.0,0.7272727272727274,1.0,0.3721042037676254
Heming,5,20,ElasticNet,8,1.0,0.7283950617283951,1.0,0.7755351130351131,1.0,0.6956521739130435,1.0,0.2672612419124244
Heming,5,30,DE_top,8,1.0,0.691358024691358,1.0,0.7662277537277538,1.0,0.6956521739130435,1.0,0.2672612419124244
Heming,5,30,HVG,8,1.0,0.7777777777777777,1.0,0.8050585217251884,1.0,0.7368421052631577,1.0,0.4472135954999579
Heming,5,30,LASSO,8,1.0,0.7160493827160495,1.0,0.7718586424468779,1.0,0.7272727272727274,1.0,0.3721042037676254
Heming,5,30,ElasticNet,8,1.0,0.7407407407407408,1.0,0.7977573352573353,1.0,0.7272727272727274,1.0,0.3721042037676254
Heming,5,50,DE_top,8,1.0,0.7160493827160495,1.0,0.7757275132275132,1.0,0.6666666666666666,1.0,0.2357022603955158
Heming,5,50,HVG,8,1.0,0.8148148148148148,1.0,0.8338183421516754,1.0,0.7999999999999999,1.0,0.5698028822981898
Heming,5,50,LASSO,8,1.0,0.691358024691358,1.0,0.7537758537758539,1.0,0.7272727272727274,1.0,0.3721042037676254
Heming,5,50,ElasticNet,8,1.0,0.6790123456790123,1.0,0.758008658008658,1.0,0.6956521739130435,1.0,0.2672612419124244
Ramesh,1,5,DE_top,8,0.4,0.9047619047619048,0.3833333333333333,0.9822929171668667,0.0,0.8333333333333333,-0.4472135954999579,0.5532833351724882
Ramesh,1,5,HVG,8,0.8666666666666667,0.6666666666666667,0.8055555555555556,0.9296797565179917,0.4,0.25,0.14907119849998599,0.1690308509457033
