cohort,fold,K,method,n_cell_types,held_auc,held_ap,held_f1,held_mcc
Heming,3,5,QUBO,8,0.7037037037037037,0.660040885040885,0.6923076923076924,0.24253562503633297
Heming,3,5,QUBO_hybrid,8,0.7160493827160495,0.6716228216228216,0.7499999999999999,0.4472135954999579
Heming,3,10,QUBO,8,0.6296296296296297,0.7029761904761904,0.6666666666666667,0.14907119849998599
Heming,3,10,QUBO_hybrid,8,0.6049382716049383,0.7020574559790246,0.6086956521739131,0.0
Heming,3,15,QUBO,8,0.6049382716049383,0.6282647907647907,0.6666666666666666,0.2357022603955158
Heming,3,15,QUBO_hybrid,8,0.617283950617284,0.7012111345444678,0.6363636363636364,0.12403473458920847
Heming,3,20,QUBO,8,0.8148148148148148,0.8333333333333333,0.7272727272727274,0.3721042037676254
Heming,3,20,QUBO_hybrid,8,0.691358024691358,0.7433760683760684,0.6666666666666666,0.2357022603955158
Heming,3,30,QUBO,8,0.6172839506172839,0.724537037037037,0.5263157894736842,0.0
Heming,3,50,QUBO,8,0.617283950617284,0.6575803825803825,0.5,-0.11396057645963795
Heming,4,5,QUBO,8,0.691358024691358,0.6084767084767084,0.7499999999999999,0.4472135954999579
Heming,4,5,QUBO_hybrid,8,0.7407407407407408,0.6821326821326821,0.72,0.3535533905932738
Heming,4,10,QUBO,8,0.8148148148148148,0.8161696328362995,0.761904761904762,0.4714045207910316
Heming,4,10,QUBO_hybrid,8,0.691358024691358,0.7607202982202982,0.6666666666666666,0.0
Heming,4,15,QUBO,8,0.6296296296296297,0.6196428571428572,0.5882352941176471,0.22360679774997896
Heming,4,15,QUBO_hybrid,8,0.6419753086419753,0.7564814814814815,0.6666666666666666,0.0
Heming,4,20,QUBO,8,0.5925925925925926,0.582473544973545,0.5555555555555556,0.1111111111111111
Heming,4,20,QUBO_hybrid,8,0.654320987654321,0.7651200651200651,0.64,0.0
Heming,4,30,QUBO,8,0.6666666666666666,0.6835978835978835,0.6,0.11396057645963795
Heming,4,50,QUBO,8,0.6790123456790124,0.7337047212047212,0.5714285714285715,0.0
Heming,5,5,QUBO,8,0.7037037037037037,0.7020121853455187,0.6923076923076924,0.24253562503633297
Heming,5,5,QUBO_hybrid,8,0.654320987654321,0.76411453470277,0.6666666666666667,0.14907119849998599
Heming,5,10,QUBO,8,0.7037037037037037,0.7107041107041107,0.7272727272727274,0.3721042037676254
Heming,5,10,QUBO_hybrid,8,0.6666666666666666,0.7442871398753752,0.6956521739130435,0.2672612419124244
Heming,5,15,QUBO,8,0.8395061728395062,0.8241943241943241,0.7499999999999999,0.4472135954999579
Heming,5,15,QUBO_hybrid,8,0.691358024691358,0.7825803825803825,0.6363636363636364,0.12403473458920847
Heming,5,20,QUBO,8,0.8271604938271605,0.8308862433862434,0.6956521739130435,0.2672612419124244
Heming,5,20,QUBO_hybrid,8,0.7037037037037037,0.8027356902356902,0.6666666666666666,0.2357022603955158
Heming,5,30,QUBO,8,0.654320987654321,0.7035325241207594,0.6666666666666666,0.2357022603955158
Heming,5,50,QUBO,8,0.7037037037037037,0.7638634513634512,0.5714285714285715,0.0
Ramesh,1,5,QUBO,8,0.9523809523809524,0.9910714285714285,0.923076923076923,0.7171371656006362
