holdout,fold,cell_type,n_screen,E_sa,E_exact,energy_gap,identical,jaccard_sa_exact,k_sa,k_exact
Ramesh,2,Mono,20,-183.33904725546464,-183.3390472554646,-2.8421709430404014e-14,1,1.0,9,9
Ramesh,2,CD4_T,20,-182.90637666549844,-182.90637666549765,-7.958078640513122e-13,1,1.0,9,9
Ramesh,2,CD8_T,20,-184.10901651612903,-184.1090165161288,-2.557953848736361e-13,1,1.0,9,9
Ramesh,2,NK,20,-187.87807526932897,-188.04985520781884,0.1717799384898626,0,0.6363636363636364,9,9
Ramesh,2,DC,20,-186.35625920272247,-186.3562592027223,-1.7053025658242404e-13,1,1.0,9,9
Ramesh,2,dnT,20,-183.07852837185885,-183.0785283718587,-1.4210854715202006e-13,1,1.0,9,9
Ramesh,2,gdT,20,-187.78154853958264,-187.87833018373047,0.0967816441478532,0,0.8,9,9
Ramesh,3,B,20,-186.3322911015791,-186.356027347028,0.0237362454488732,0,0.8,9,9
Ramesh,3,Mono,20,-189.28944809371305,-189.3562885475636,0.066840453850574,0,0.8,9,9
Ramesh,3,CD4_T,20,-183.47219110934964,-183.4721911093492,-4.547473508864641e-13,1,1.0,9,9
Ramesh,3,CD8_T,20,-185.0996065977428,-185.0996065977425,-2.557953848736361e-13,1,1.0,9,9
Ramesh,3,NK,20,-189.82689003752864,-189.8268900375285,-1.4210854715202006e-13,1,1.0,9,9
Ramesh,3,DC,20,-185.80092732080067,-185.95342402345776,0.1524967026570891,0,0.6363636363636364,9,9
Ramesh,3,dnT,20,-186.46316317774483,-186.69987012353727,0.2367069457924344,0,0.8,9,9
Ramesh,3,gdT,20,-188.8682622658551,-188.8682622658548,-2.842170943040401e-13,1,1.0,9,9
Ramesh,4,B,20,-187.9616823350711,-187.96168233507177,6.821210263296962e-13,1,1.0,9,9
Ramesh,4,Mono,20,-185.26291707279756,-185.2629170727975,-2.8421709430404014e-14,1,1.0,9,9
Ramesh,4,CD4_T,20,-182.1694787750453,-182.1694787750453,-5.684341886080803e-14,1,1.0,9,9
Ramesh,4,CD8_T,20,-185.5782022782718,-186.12696139833463,0.5487591200628401,0,0.6363636363636364,9,9
Ramesh,4,NK,20,-186.2854230746792,-187.122534734003,0.8371116593237957,0,0.8,9,9
Ramesh,4,DC,20,-187.6300059718336,-187.630005971833,-6.252776074688883e-13,1,1.0,9,9
Ramesh,4,dnT,20,-180.5421505553422,-180.5421505553417,-4.831690603168681e-13,1,1.0,9,9
Ramesh,4,gdT,20,-189.5602967243268,-189.56029672432663,-1.4210854715202006e-13,1,1.0,9,9
Ramesh,5,Mono,20,-188.97499773502813,-188.97499773502824,1.1368683772161605e-13,1,1.0,9,9
Ramesh,5,CD4_T,20,-183.5709127786247,-183.57091277862432,-3.694822225952521e-13,1,1.0,9,9
Ramesh,5,CD8_T,20,-183.34000298847147,-183.3400029884708,-7.105427357601002e-13,1,1.0,9,9
Ramesh,5,NK,20,-189.21984801789287,-189.30468695234308,0.0848389344502038,0,0.6363636363636364,9,9
Ramesh,5,DC,20,-187.82769297234316,-187.9159076118788,0.0882146395356926,0,0.8,9,9
Ramesh,5,dnT,20,-178.23709182709075,-178.23709182709035,-3.979039320256561e-13,1,1.0,9,9
Ramesh,5,gdT,20,-189.6834617932436,-189.6834617932436,0.0,1,1.0,9,9
