method,holdout,fold,cell_type,rho
ElasticNet,Pappalardo,1,dnT,0.4196139930469172
ElasticNet,Pappalardo,1,gdT,0.2772163012112298
HVG,Pappalardo,1,B,0.3168836952679755
HVG,Pappalardo,1,CD4_T,0.4568160053348164
HVG,Pappalardo,1,CD8_T,0.505303789297781
HVG,Pappalardo,1,DC,0.2909979200251131
HVG,Pappalardo,1,Mono,0.3663703513287508
HVG,Pappalardo,1,NK,0.4265263347637044
HVG,Pappalardo,1,dnT,0.6591948824231131
HVG,Pappalardo,1,gdT,0.3139700617665349
LASSO,Pappalardo,1,B,0.4605926400707823
LASSO,Pappalardo,1,CD4_T,0.2257710349409157
LASSO,Pappalardo,1,CD8_T,0.3314555234148041
LASSO,Pappalardo,1,DC,0.2896569052468288
LASSO,Pappalardo,1,Mono,0.2551110641852926
LASSO,Pappalardo,1,NK,0.2231961738569783
LASSO,Pappalardo,1,dnT,0.4075510034327933
LASSO,Pappalardo,1,gdT,0.2495809865213407
QUBO,Pappalardo,1,B,0.3522182312564476
QUBO,Pappalardo,1,CD4_T,0.2550511375962891
QUBO,Pappalardo,1,CD8_T,0.2001031095717529
QUBO,Pappalardo,1,DC,0.2721013628859297
QUBO,Pappalardo,1,Mono,0.1793508182581752
QUBO,Pappalardo,1,NK,0.1677089121795824
QUBO,Pappalardo,1,dnT,0.1567710329239111
QUBO,Pappalardo,1,gdT,0.1650066124752385
mRMR,Pappalardo,1,B,0.3585630367622945
mRMR,Pappalardo,1,CD4_T,0.3039623522840217
mRMR,Pappalardo,1,CD8_T,0.2467635978277741
mRMR,Pappalardo,1,DC,0.4068085382511485
mRMR,Pappalardo,1,Mono,0.2019810637477753
mRMR,Pappalardo,1,NK,0.2531721642835227
mRMR,Pappalardo,1,dnT,0.2217128278391593
mRMR,Pappalardo,1,gdT,0.2535121973601342
DE_top,Heming,3,B,0.3046004855521407
DE_top,Heming,3,CD4_T,0.5640754837474715
DE_top,Heming,3,CD8_T,0.315079404783484
DE_top,Heming,3,DC,0.4367546831787889
DE_top,Heming,3,Mono,0.3298677607238297
DE_top,Heming,3,NK,0.2912011876164033
DE_top,Heming,3,dnT,0.3732879203626971
DE_top,Heming,3,gdT,0.3366454032340504
DE_top,Heming,4,B,0.3010660231922585
DE_top,Heming,4,CD4_T,0.6406899818243363
DE_top,Heming,4,CD8_T,0.3132033254369263
DE_top,Heming,4,DC,0.3909094241819457
DE_top,Heming,4,Mono,0.2939333310368042
